problem_key,parameterId,parameterId,lowerBound,upperBound,ensemble_mean,ensemble_std,ensemble_median,within lb: 1 std,within ub: 1 std,within lb: 2 std,within ub: 2 std,within lb: 3 std,within ub: 3 std,within lb: perc 5,within lb: perc 20,within ub: perc 80,within ub: perc 95,percentile_5,percentile_25,percentile_75,percentile_95,true_value,A0,B0
prob_000 | p_000,rA,rA,0.001,100.0,0.09141836996845422,0.1516399363985175,0.09141836996845422,False,True,False,True,False,True,True,True,True,True,0.0013168951627759026,0.004748142259489178,0.10168411061102821,0.4147466770931765,0.1,[0.1],[0.9]
prob_002 | p_004,rA,rA,0.001,100.0,0.10043664808845076,0.014107395128832956,0.10043664808845076,True,True,True,True,True,True,True,True,True,True,0.07882479374801057,0.09008784842094487,0.11039273762423528,0.12469885514865219,0.1,[0.5],[0.5]
prob_002 | p_004,rB,rB,0.001,100.0,10.001385612142084,0.3662442218051557,10.001385612142084,True,True,True,True,True,True,True,True,True,True,9.42217802607361,9.759149725505493,10.245802461123933,10.614318319925411,10.0,[0.5],[0.5]
prob_003 | p_004,rA,rA,0.001,100.0,0.10028411116029805,0.009850091490061684,0.10028411116029805,True,True,True,True,True,True,True,True,True,True,0.0845415674159334,0.09385774003190521,0.10684198317228231,0.11698883358559875,0.1,[0.7],[0.3]
prob_003 | p_004,rB,rB,0.001,100.0,10.012957854114791,0.44659134628936537,10.012957854114791,True,True,True,True,True,True,True,True,True,True,9.284281041802943,9.705951367185934,10.294673845858094,10.777427203617718,10.0,[0.7],[0.3]
prob_004 | p_004,rA,rA,0.001,100.0,0.1001235958633509,0.007173862951020659,0.1001235958633509,True,True,True,True,True,True,True,True,True,True,0.08850750399613135,0.09523823403347001,0.10477079817387827,0.11245033576486735,0.1,[0.9],[0.1]
prob_004 | p_004,rB,rB,0.001,100.0,10.030707419073284,1.0477482590144342,10.030707419073284,True,True,True,True,True,True,True,True,True,True,8.381761577647994,9.281715332638976,10.733997555940348,11.844967955939751,10.0,[0.9],[0.1]
prob_000 | p_005,rA,rA,0.001,100.0,0.17416864984524347,0.2704523048560142,0.17416864984524347,False,True,False,True,False,True,True,True,True,True,0.0015531077867441691,0.007193972762268019,0.233515940346677,0.7843190465832468,0.5,[0.1],[0.9]
prob_000 | p_005,rB,rB,0.001,100.0,0.4834905672116116,0.014506981224140524,0.4834905672116116,True,True,True,True,True,True,True,True,True,True,0.46939685981261475,0.474415781718132,0.4870173903899479,0.5138175623450129,0.5,[0.1],[0.9]
prob_001 | p_005,rA,rA,0.001,100.0,0.474108615132341,0.17539525981667542,0.474108615132341,True,True,True,True,False,True,True,True,True,True,0.21959333100475345,0.3474003111896504,0.5797328430211786,0.8070054507545656,0.5,[0.3],[0.7]
prob_001 | p_005,rB,rB,0.001,100.0,0.4930147282320858,0.049332848714937025,0.4930147282320858,True,True,True,True,True,True,True,True,True,True,0.4201196208607003,0.4578534216019133,0.5226099835087575,0.5850636512899152,0.5,[0.3],[0.7]
prob_002 | p_005,rA,rA,0.001,100.0,0.34627329262312406,4.388573759502452,0.34627329262312406,False,True,False,True,False,True,True,True,True,True,0.0011514544922902774,0.0021011187422576515,0.0084908144089909,0.0491921217061196,0.5,[0.5],[0.5]
