Time [min],Conversion [%]
17.733,35.72815534
17.75,35.95469256
17.767,35.88996764
17.783,35.9223301
17.8,35.9223301
17.817,35.9223301
17.833,36.11650485
17.85,36.14886731
17.867,35.98705502
17.883,36.34304207
17.9,36.08414239
17.917,36.05177994
17.933,36.11650485
17.95,36.27831715
17.967,36.11650485
17.983,36.34304207
18,36.31067961
18.017,36.40776699
18.033,36.27831715
18.05,36.44012945
18.067,36.37540453
18.083,36.37540453
18.1,36.34304207
18.117,36.50485437
18.133,36.63430421
18.15,36.82847896
18.167,36.66666667
18.183,36.66666667
18.2,36.66666667
18.217,36.86084142
18.233,36.76375405
18.25,36.86084142
18.267,36.63430421
18.283,36.9579288
18.3,36.86084142
18.317,36.9579288
18.333,36.86084142
18.35,37.41100324
18.367,36.9579288
18.383,37.15210356
18.4,36.92556634
18.417,37.05501618
18.433,37.02265372
18.45,37.21682848
18.467,36.92556634
18.483,37.24919094
18.5,36.89320388
18.517,37.4433657
18.533,37.41100324
18.55,37.37864078
18.567,37.34627832
18.583,37.31391586
18.6,37.2815534
18.617,37.41100324
18.633,37.50809061
18.65,37.57281553
18.667,37.50809061
18.683,37.41100324
18.7,37.34627832
18.717,37.54045307
18.733,37.63754045
18.75,37.73462783
18.767,37.79935275
18.783,37.70226537
18.8,37.86407767
18.817,37.86407767
18.833,37.89644013
18.85,37.92880259
18.867,37.76699029
18.883,37.86407767
18.9,37.96116505
18.917,37.99352751
18.933,37.92880259
18.95,37.96116505
18.967,38.18770227
18.983,38.09061489
19,38.12297735
19.017,38.18770227
19.033,38.15533981
19.05,38.12297735
19.067,37.96116505
19.083,38.22006472
19.1,38.25242718
19.117,38.34951456
19.133,38.57605178
19.15,38.3171521
19.167,38.3171521
19.183,38.38187702
19.2,38.38187702
19.217,38.4789644
19.233,38.34951456
19.25,38.44660194
19.267,38.54368932
19.283,38.60841424
19.3,38.70550162
19.317,38.6407767
19.333,38.77022654
19.35,38.77022654
19.367,38.60841424
19.383,38.86731392
19.4,38.67313916
19.417,38.73786408
19.433,38.77022654
19.45,38.83495146
19.467,38.83495146
19.483,38.93203883
19.5,38.99676375
19.517,38.96440129
19.533,39.06148867
19.55,38.96440129
19.567,39.09385113
19.583,38.99676375
19.6,39.06148867
19.617,39.12621359
19.633,39.02912621
19.65,39.19093851
19.667,39.32038835
19.683,39.15857605
19.7,39.35275081
19.717,39.32038835
19.733,39.41747573
19.75,39.32038835
19.767,39.38511327
19.783,39.44983819
19.8,39.41747573
19.817,39.61165049
19.833,39.61165049
19.85,39.51456311
19.867,39.6763754
19.883,39.51456311
19.9,39.64401294
19.917,39.51456311
19.933,39.6763754
19.95,39.54692557
19.967,39.61165049
19.983,39.70873786
20,39.87055016
20.017,39.96763754
20.033,39.87055016
20.05,39.87055016
20.067,39.93527508
20.083,39.93527508
20.1,39.90291262
20.117,40.03236246
20.133,40.09708738
20.15,40
20.167,40.19417476
20.183,40.1618123
20.2,40.1618123
20.217,40.09708738
20.233,40.29126214
20.25,40.22653722
20.267,40.25889968
20.283,40.35598706
20.3,40.29126214
20.317,40.42071197
20.333,40.38834951
20.35,40.42071197
20.367,40.25889968
20.383,40.45307443
20.4,40.58252427
20.417,40.42071197
20.433,40.48543689
20.45,40.48543689
20.467,40.67961165
20.483,40.58252427
20.5,40.58252427
20.517,40.74433657
20.533,40.80906149
20.55,40.93851133
20.567,40.93851133
20.583,40.77669903
20.6,40.80906149
20.617,40.93851133
20.633,40.90614887
20.65,41.03559871
20.667,40.90614887
20.683,41.03559871
20.7,41.06796117
20.717,41.06796117
20.733,41.197411
20.75,41.10032362
20.767,41.10032362
20.783,41.00323625
20.8,41.16504854
20.817,41.26213592
20.833,41.22977346
20.85,41.3592233
20.867,41.29449838
20.883,41.45631068
20.9,41.3592233
20.917,41.39158576
20.933,41.39158576
20.95,41.45631068
20.967,41.5210356
20.983,41.58576052
21,41.58576052
21.017,41.65048544
21.033,41.6828479
21.05,41.81229773
21.067,41.74757282
21.083,41.71521036
21.1,41.84466019
21.117,41.74757282
21.133,41.77993528
21.15,41.84466019
21.167,41.74757282
21.183,41.84466019
21.2,42.03883495
21.217,42.10355987
21.233,42.00647249
21.25,42.13592233
21.267,41.97411003
21.283,42.16828479
21.3,42.10355987
21.317,42.33009709
21.333,42.23300971
21.35,42.23300971
21.367,42.16828479
21.383,42.23300971
21.4,42.20064725
21.417,42.29773463
21.433,42.26537217
21.45,42.29773463
21.467,42.42718447
21.483,42.52427184
21.5,42.42718447
21.517,42.39482201
21.533,42.52427184
21.55,42.68608414
21.567,42.65372168
21.583,42.65372168
21.6,42.65372168
21.617,42.75080906
21.633,42.68608414
21.65,42.75080906
21.667,42.65372168
21.683,42.81553398
21.7,42.75080906
21.717,42.84789644
21.733,42.91262136
21.75,42.94498382
21.767,42.84789644
21.783,42.81553398
21.8,42.8802589
21.817,42.91262136
21.833,43.10679612
21.85,43.00970874
21.867,43.10679612
21.883,43.07443366
21.9,43.10679612
21.917,43.23624595
21.933,43.10679612
21.95,43.23624595
21.967,43.10679612
21.983,43.2038835
22,43.36569579
22.017,43.2038835
22.033,43.26860841
22.05,43.39805825
22.067,43.33333333
22.083,43.30097087
22.1,43.33333333
22.117,43.52750809
22.133,43.46278317
22.15,43.59223301
22.167,43.49514563
22.183,43.52750809
22.2,43.59223301
22.217,43.65695793
22.233,43.55987055
22.25,43.65695793
22.267,43.62459547
22.283,43.72168285
22.3,43.72168285
22.317,43.72168285
22.333,43.81877023
22.35,43.81877023
22.367,43.81877023
22.383,43.81877023
22.4,43.81877023
22.417,43.75404531
22.433,43.88349515
22.45,44.01294498
22.467,43.94822006
22.483,44.04530744
22.5,44.0776699
22.517,44.01294498
22.533,44.11003236
22.55,44.11003236
22.567,44.14239482
22.583,44.11003236
22.6,44.11003236
22.617,44.0776699
22.633,44.27184466
22.65,44.17475728
22.667,44.17475728
22.683,44.2394822
22.7,44.36893204
22.717,44.43365696
22.733,44.33656958
22.75,44.30420712
22.767,44.36893204
22.783,44.49838188
22.8,44.49838188
22.817,44.49838188
22.833,44.49838188
22.85,44.46601942
22.867,44.46601942
22.883,44.5631068
22.9,44.59546926
22.917,44.53074434
22.933,44.69255663
22.95,44.5631068
